NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-205 b,0.0120453,0.134713,2.75564,
MOA-2008-BLG-310L b,0.23,,,
KIC 11442793 g,0.217563,0.723,210.60697,
GJ 1214 b,0.0203507,0.2389,1.58040482,0
Kepler-268 c,0.0344212,0.301543,83.446393,
Kepler-135 c,0.00493175,0.103488,11.448708,
Kepler-265 c,0.0212781,0.234633,17.028937,
16 Cyg B b,1.63997,,798.5,0.681
HAT-P-25 b,0.567181,1.19,3.652836,0.032
Kepler-341 e,0.014692,0.177536,42.473269,
HD 213240 b,4.53249,,882.7,0.421
Kepler-399 b,0.00252018,0.0856455,14.425281,
Kepler-341 c,0.012573,0.151664,8.01041,
Kepler-265 d,0.0195472,0.222143,43.130617,
Kepler-243 c,0.014692,0.177536,20.026218,
HD 12661 b,2.3408,,262.70861,0.376834
Kepler-9 c,0.168671,0.823,38.90861,0.132575
HD 74156 c,8.24664,,2520,0.38
Kepler-165 c,0.0167934,0.198947,15.31299,
Kepler-326 d,0.0057099,0.107949,6.766888,
HD 20794 c,0.00743617,,40.114,0
Kepler-31 c,0.0577969,0.374365,42.6318,0
Kepler-82 b,0.0517963,0.357,26.444,
Kepler-306 c,0.0179955,0.209653,7.240193,
Kepler-85 e,0.00674351,0.113302,25.216751,
HD 38801 b,10.0105,,696.3,0
HD 132563 B b,1.49247,,1544,0.22
Kepler-390 c,0.00126334,0.0704791,13.060022,
Kepler-61 b,0.0160339,0.191639,59.87756,0
GJ 667 C c,0.0130687,,28.1,0.27
HD 207832 c,0.730294,,1155.7,0.27
Kepler-80 b,0.0222358,0.241,7.053,
Kepler-272 d,0.0169862,0.200732,10.937304,
Kepler-44 b,1.02109,1.24,3.24674,0
HD 5891 b,5.22845,,177.11,0.066
Kepler-292 b,0.00769114,0.117763,2.580827,
Kepler-228 d,0.0531048,0.360425,11.094286,
Kepler-140 b,0.0119837,0.143635,3.25427,
Kepler-245 d,0.0273861,0.270319,36.277108,
HD 173416 b,2.71808,,323.6,0.21
Kepler-104 c,0.0292202,0.27924,23.668205,
Kepler-263 b,0.0218083,0.238201,16.568087,
Kepler-278 c,0.0395346,0.320278,51.078775,
HD 76700 b,0.232142,,3.97097,0.095
